================================================================
=== 1. ARRIBA HIGH/MEDIUM CONFIDENCE FUSIONS (376 lines) ===
================================================================
SAMPLE|GENE1|GENE2|BREAKPOINT1|BREAKPOINT2|CONFIDENCE|SPLIT_READS1|SPLIT_READS2|DISCORDANT|READING_FRAME|TYPE
152-MO-20-563637230|ENSG00000272140|BMS1P4|chr10:73704986|chr10:73721504|medium|0|1|30|.|duplication
190-MO-15-563633241|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|high|45|25|185|.|duplication
190-MO-15-563633241|BCR|ABL1|chr22:23182239|chr9:130854064|high|29|22|377|in-frame|translocation
190-MO-15-563633241|ABL1|BCR|chr9:130714455|chr22:23253799|high|4|5|29|in-frame|translocation
190-MO-15-563633241|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|13|8|38|.|deletion/read-through
190-MO-15-563633241|ENSG00000289927|KCNJ15|chr21:38230023|chr21:38296926|high|13|1|99|.|deletion/read-through
190-MO-15-563633241|ENSG00000289927|KCNJ15|chr21:38230023|chr21:38257046|high|11|11|99|.|deletion/read-through
190-MO-15-563633241|ENSG00000289927|KCNJ15|chr21:38230023|chr21:38291606|medium|6|8|99|.|deletion/read-through
190-MO-15-563633241|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|9|0|244|out-of-frame|deletion/read-through
190-MO-15-563633241|KIAA1328|LINC01312|chr18:36959435|chr6:133868690|high|4|2|12|out-of-frame|translocation
190-MO-15-563633241|LINC02355|ENSG00000249752(53926),LINC02430(31345)|chr4:149155725|chr4:149116448|high|1|0|33|.|duplication
190-MO-15-563633241|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|1|1|30|.|translocation
190-MO-15-563633241|AGAP2|LPAR2|chr12:57741912|chr19:19627504|high|0|1|98|out-of-frame|translocation
190-MO-15-563633241|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|7|2|27|out-of-frame|deletion/read-through
190-MO-15-563633241|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|medium|6|4|79|.|deletion/read-through
190-MO-15-563633241|CMTM1|CMTM1|chr16:66566846|chr16:66566831|medium|5|0|36|out-of-frame|duplication/ITD
190-MO-15-563633241|POLR2J3|BRD1|chr7:102566997|chr22:49824331|medium|3|0|298|out-of-frame|translocation
190-MO-15-563633241|ENSG00000270249|BRD1|chr7:102566997|chr22:49824331|medium|3|0|298|.|translocation
199-MO-20-563533457|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|18|7|80|.|deletion/read-through
199-MO-20-563533457|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|20|9|39|.|deletion/read-through
199-MO-20-563533457|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|6|1|178|out-of-frame|deletion/read-through
199-MO-20-563533457|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|12|0|31|.|deletion/read-through
199-MO-20-563533457|TMPRSS15|TMPRSS15(2421),ENSG00000228708(71152)|chr21:18297734|chr21:18406206|high|1|3|181|out-of-frame|duplication
199-MO-20-563533457|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|2|1|12|.|translocation
199-MO-20-563533457|SRSF2|SRSF2|chr17:76736261|chr17:76736266|medium|56|0|1649|in-frame|duplication/ITD
199-MO-20-563533457|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158323197|chr5:158317365|medium|5|5|44|.|duplication
199-MO-20-563533457|GATD3|BCL7A|chr21:44140342|chr12:122030700|medium|2|0|344|in-frame|translocation
199-MO-20-563533457|PPP2R3B|PPP2R3B|chrY:338604|chrY:362332|medium|2|0|47|out-of-frame|duplication
199-MO-20-563533457|MAFK|ENSG00000286192|chr7:1530898|chr7:1936897|medium|0|1|125|.|inversion
199-MO-20-563533457|MAFK|MAD1L1|chr7:1530898|chr7:1936897|medium|0|1|125|.|inversion
199-MO-20-563533457|INPP5A|PWWP2B|chr10:132645968|chr10:132404626|medium|1|0|121|in-frame|duplication
218-MO-19-563507503|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|high|12|2|320|out-of-frame|deletion/read-through
218-MO-19-563507503|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|high|12|2|320|out-of-frame|deletion/read-through
218-MO-19-563507503|ZC3HAV1|ABL2|chr7:139053451|chr1:179133374|high|1|11|92|in-frame|translocation
218-MO-19-563507503|ZC3HAV1|ABL2|chr7:139053451|chr1:179131481|high|2|3|92|in-frame|translocation
218-MO-19-563507503|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|3|0|76|out-of-frame|deletion/read-through
218-MO-19-563507503|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|1|1|9|.|translocation
218-MO-19-563507503|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|13|6|37|.|duplication
218-MO-19-563507503|RNU6-7|RNU4-2|chr14:32202150|chr12:120291898|medium|2|13|1208|.|translocation
218-MO-19-563507503|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|3|1|18|out-of-frame|deletion/read-through
218-MO-19-563507503|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|medium|2|2|15|.|deletion/read-through
218-MO-19-563507503|AGAP7P(71193),ANTXRLP1(31334)|ANTXRLP1|chr10:46202551|chr10:46269523|medium|1|2|11|.|duplication
218-MO-19-563507503|LINC02227|ENSG00000253449(15340),ENSG00000253424(6421)|chr5:158359646|chr5:158249716|medium|1|2|37|.|duplication
218-MO-19-563507503|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|2|1|3|.|duplication
218-MO-19-563507503|LINC01250|ENSG00000236760|chr2:3125295|chr2:3132166|medium|1|1|32|.|duplication
220-MO-18-563634284|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|25|24|104|.|deletion/read-through
220-MO-18-563634284|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|14|4|34|.|deletion/read-through
220-MO-18-563634284|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|6|3|227|out-of-frame|deletion/read-through
220-MO-18-563634284|C12orf42|ENSG00000257860(97963),C12orf42(24745)|chr12:103368887|chr12:103277210|high|6|2|68|out-of-frame|deletion/read-through
220-MO-18-563634284|ENSG00000200620(5246),ENSG00000288680(6139)|CA5B|chrX:15721592|chrX:15749971|high|7|2|33|.|deletion/read-through
220-MO-18-563634284|TCF3|GNG7|chr19:1625576|chr19:2626113|high|5|1|655|out-of-frame|inversion/5'-5'
220-MO-18-563634284|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|4|1|24|.|translocation
220-MO-18-563634284|TULP4|SRP72P2(24437),ENSG00000274023(15607)|chr6:158429897|chr6:158267234|high|1|2|14|out-of-frame|duplication
220-MO-18-563634284|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|11|14|71|.|duplication
220-MO-18-563634284|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|medium|13|1|26|.|deletion/read-through
220-MO-18-563634284|RRN3P3|CDR2|chr16:22422161|chr16:22365014|medium|3|11|32|.|deletion/read-through
220-MO-18-563634284|RRN3P3|CDR2|chr16:22426213|chr16:22365014|medium|2|8|20|.|deletion/read-through
220-MO-18-563634284|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|medium|2|4|38|out-of-frame|deletion/read-through
220-MO-18-563634284|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|3|1|166|out-of-frame|deletion/read-through
220-MO-18-563634284|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|3|1|166|out-of-frame|deletion/read-through
220-MO-18-563634284|BALR6(80235),SATB1(223539)|BALR6|chr3:18121838|chr3:18041449|medium|1|2|30|.|duplication
220-MO-18-563634284|HECW1|HECW1|chr7:43365226|chr7:43360886|medium|2|2|4|.|duplication
220-MO-18-563634284|FGF13|FGF13(29263),SNURFL(127754)|chrX:139204059|chrX:139234286|medium|3|0|41|out-of-frame|duplication
263-MO-19-563707144|IKZF1|RNU6-1091P(2678),FIGNL1(5964)|chr7:50327757|chr7:50438164|high|27|24|410|out-of-frame|deletion/read-through
263-MO-19-563707144|EP300|ZNF384|chr22:41131633|chr12:6679525|high|14|5|100|in-frame|translocation
263-MO-19-563707144|ZNF384|EP300|chr12:6688167|chr22:41135813|high|3|2|32|.|translocation
263-MO-19-563707144|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|8|1|126|out-of-frame|deletion/read-through
263-MO-19-563707144|XKR3|VWFP1|chr22:16799771|chr22:16704106|high|3|0|54|out-of-frame|deletion/read-through
263-MO-19-563707144|USP9YP6|USP9YP7|chrY:17920122|chrY:17910598|high|5|1|6|.|duplication/3'-3'
263-MO-19-563707144|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|1|1|13|.|translocation
263-MO-19-563707144|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40959016|medium|6|3|47|.|deletion/read-through
263-MO-19-563707144|IKZF1|FIGNL1|chr7:50327757|chr7:50458223|medium|2|2|410|out-of-frame|deletion/read-through/5'-5'
263-MO-19-563707144|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|1|2|23|.|duplication
263-MO-19-563707144|IKZF1|IKZF1(25340),RNU6-1091P(4939)|chr7:50327757|chr7:50430441|medium|1|0|410|out-of-frame|deletion/read-through
263-MO-19-563707144|CWC22(413142),ENSG00000270289(52698)|SYCP2L|chr2:180420439|chr6:10942458|medium|3|0|0|.|translocation
263-MO-19-563707144|PARP4P3|ANKRD62P1|chr22:16659497|chr22:16671588|medium|2|0|24|.|duplication
269-MO-17-563529456|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|16|2|37|.|deletion/read-through
269-MO-17-563529456|CBWD2|LINC02966|chr2:113438022|chr2:113405557|high|11|4|171|out-of-frame|inversion/3'-3'
269-MO-17-563529456|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|4|2|151|out-of-frame|deletion/read-through
269-MO-17-563529456|PAX5|ZCCHC7|chr9:36929054|chr9:37187485|medium|39|23|117|.|deletion/read-through/3'-3'
269-MO-17-563529456|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|medium|7|5|27|.|deletion/read-through
269-MO-17-563529456|BALR6(22459),SATB1(281315)|BALR6|chr3:18064062|chr3:18027397|medium|3|5|37|.|duplication
269-MO-17-563529456|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|4|2|33|.|duplication
269-MO-17-563529456|HNRNPH2(4867),PPIAP90(24707)|ARMCX4|chrX:101419000|chrX:101486023|medium|2|0|21|.|deletion/read-through
269-MO-17-563529456|PPIAP90(1941),ARMCX4(39412)|ARMCX4|chrX:101446044|chrX:101486023|medium|3|0|13|.|deletion/read-through
272-MO-17-563668167|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|16|2|216|out-of-frame|deletion/read-through
272-MO-17-563668167|KRT18P29(12786),PPP1R1C(10589)|PPP1R1C|chr2:181975264|chr2:182061442|high|8|2|42|.|deletion/read-through
272-MO-17-563668167|SCN3A(11991),SCN2A(23373)|ENSG00000236283|chr2:165216041|chr2:165091120|high|3|14|21|.|duplication
272-MO-17-563668167|ANTXRLP1|ANTXRLP1|chr10:46248891|chr10:46269523|high|8|4|117|.|duplication
272-MO-17-563668167|OR1D3P(9676),OR3A2(725)|OR3A3|chr17:3276217|chr17:3411978|high|0|3|17|.|inversion
272-MO-17-563668167|ATP6AP1L(156477),ENSG00000248393(2408)|ATP6AP1L|chr5:82543454|chr5:82341699|high|2|0|7|.|duplication
272-MO-17-563668167|SNORD3A|ENSG00000280441|chr17:19188191|chr21:8399972|medium|0|1|65535|.|translocation
272-MO-17-563668167|AGAP7P(71193),ANTXRLP1(31334)|ANTXRLP1|chr10:46202551|chr10:46269523|medium|11|5|27|.|duplication
272-MO-17-563668167|SCN3A(11991),SCN2A(23373)|SCN3A|chr2:165216041|chr2:165091103|medium|0|14|21|.|duplication
272-MO-17-563668167|ENSG00000289927|KCNJ15|chr21:38230023|chr21:38291606|medium|4|5|29|.|deletion/read-through
272-MO-17-563668167|ENSG00000289927|KCNJ15|chr21:38230023|chr21:38257046|medium|2|8|29|.|deletion/read-through
272-MO-17-563668167|SCN3A|ENSG00000236283|chr2:165139709|chr2:165091120|medium|9|3|117|.|duplication/3'-3'
272-MO-17-563668167|CD99|GHR|chrX:2723364|chr5:42629038|medium|2|4|4173|in-frame|translocation
272-MO-17-563668167|GHR|CD99|chr5:42629103|chrX:2714422|medium|1|1|28|in-frame|translocation
272-MO-17-563668167|MTAP|CDKN2B-AS1|chr9:21818202|chr9:22029433|medium|2|5|28|out-of-frame|deletion/read-through
272-MO-17-563668167|MTAP|CDKN2B-AS1|chr9:21818202|chr9:21995048|medium|2|5|28|out-of-frame|deletion/read-through
272-MO-17-563668167|ENSG00000236283|ENSG00000236283|chr2:165139709|chr2:165091120|medium|9|1|117|.|duplication
272-MO-17-563668167|SCN3A|SCN3A|chr2:165139709|chr2:165127649|medium|6|1|117|.|duplication
272-MO-17-563668167|STIL|TAL1|chr1:47314036|chr1:47229351|medium|2|3|29|.|deletion/read-through
272-MO-17-563668167|STIL|TAL1|chr1:47314036|chr1:47224098|medium|3|1|29|.|deletion/read-through
272-MO-17-563668167|ZNF169|ZNF169|chr9:94293069|chr9:94274206|medium|1|0|11|out-of-frame|duplication
272-MO-17-563668167|ENSG00000250081(21019),CENPK(9699)|CENPK|chr5:65508067|chr5:65554946|medium|0|2|8|.|duplication
272-MO-17-563668167|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|2|0|13|.|duplication
281-MO-18-563507507|TCF3|PBX1|chr19:1619111|chr1:164792494|high|54|50|592|in-frame|translocation
281-MO-18-563507507|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|10|6|233|out-of-frame|deletion/read-through
281-MO-18-563507507|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|15|1|36|.|deletion/read-through
281-MO-18-563507507|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|9|5|41|.|deletion/read-through
281-MO-18-563507507|THADA|DYNC2LI1|chr2:43498833|chr2:43774958|high|3|3|38|out-of-frame|duplication/5'-5'
281-MO-18-563507507|FAM217B|PHACTR3(3857),RNU7-141P(1099)|chr20:59942512|chr20:59851568|high|2|2|28|.|duplication
281-MO-18-563507507|FARS2|F13A1(9091),LY86-AS1(16712)|chr6:5431172|chr6:6329753|high|3|2|31|out-of-frame|deletion
281-MO-18-563507507|ENSG00000287700|DMD|chrX:33725628|chrX:33020200|high|0|1|93|.|deletion
281-MO-18-563507507|LEF1-AS1(5420),RPSAP34(144386)|LEF1-AS1|chr4:108263457|chr4:108199822|high|1|1|4|.|duplication
281-MO-18-563507507|ENSG00000254350|ENSG00000253134(36388),LINC02227(5482)|chr5:158424690|chr5:158315201|high|1|2|9|.|duplication
281-MO-18-563507507|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|15|23|94|.|duplication
281-MO-18-563507507|RNU6-4P|RNU4-2|chr3:181231843|chr12:120291897|medium|2|13|1506|.|translocation
281-MO-18-563507507|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|4|2|580|out-of-frame|deletion/read-through
281-MO-18-563507507|LINC01226|LINC01226|chr1:31536409|chr1:31528430|medium|8|5|136|.|duplication
281-MO-18-563507507|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|3|1|580|out-of-frame|deletion/read-through
281-MO-18-563507507|RNU6-33P|RNU12|chr4:88684845|chr22:42615261|medium|8|1|2286|.|translocation
281-MO-18-563507507|RNU6-33P|ENSG00000270022|chr4:88684845|chr22:42615261|medium|8|1|2286|.|translocation
281-MO-18-563507507|LINC02227|ENSG00000253449(15340),ENSG00000253424(6421)|chr5:158359646|chr5:158249716|medium|2|1|94|.|duplication
281-MO-18-563507507|ENSG00000286888|TAPT1-AS1|chr4:16323036|chr4:16256257|medium|1|3|36|.|duplication
281-MO-18-563507507|ARHGAP32|CNTN5|chr11:128998319|chr11:99393734|medium|2|0|3|out-of-frame|deletion/5'-5'
281-MO-18-563507507|CYP2E1|SCART1|chr10:133528640|chr10:133467198|medium|1|1|8|in-frame|duplication
290-MO-22-563324716|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|11|2|26|.|deletion/read-through
290-MO-22-563324716|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|13|0|26|.|deletion/read-through
290-MO-22-563324716|TMPRSS15|TMPRSS15(8620),ENSG00000228708(64953)|chr21:18341413|chr21:18412405|high|1|4|53|out-of-frame|duplication
290-MO-22-563324716|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|1|1|9|.|translocation
290-MO-22-563324716|PLGLB1|RMND5A|chr2:87016307|chr2:86740927|high|0|1|8|out-of-frame|inversion
290-MO-22-563324716|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|6|12|26|.|duplication
290-MO-22-563324716|LINC03000|LINC03000|chr5:165015583|chr5:165007369|medium|7|4|18|.|duplication
290-MO-22-563324716|LINC01830|LINC01830|chr2:22428966|chr2:22406986|medium|2|1|42|.|duplication
290-MO-22-563324716|LINC01830|ENSG00000228999|chr2:22428966|chr2:22406986|medium|2|1|42|.|duplication/5'-5'
290-MO-22-563324716|PPP2R3B|PPP2R3B|chrY:338604|chrY:362332|medium|3|1|38|out-of-frame|duplication
290-MO-22-563324716|BALR6(80235),SATB1(223539)|BALR6|chr3:18121838|chr3:18027397|medium|1|5|1|.|duplication
290-MO-22-563324716|RNU6-9|TMEM107|chr19:893590|chr17:8173573|medium|1|1|1029|.|translocation
290-MO-22-563324716|RNU6-9|SNORD118|chr19:893590|chr17:8173573|medium|1|1|1029|.|translocation
290-MO-22-563324716|MFSD4A|ELK4|chr1:205598455|chr1:205627874|medium|0|2|4|.|duplication/3'-3'
290-MO-22-563324716|PRKCA|PRKCA|chr17:66514734|chr17:66496201|medium|1|1|10|.|duplication
290-MO-22-563324716|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|1|1|8|.|duplication
294-MO-17-563456458|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|15|5|23|.|deletion/read-through
294-MO-17-563456458|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|high|8|4|72|out-of-frame|deletion/read-through
294-MO-17-563456458|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|4|1|126|out-of-frame|deletion/read-through
294-MO-17-563456458|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|6|3|24|.|deletion/read-through
294-MO-17-563456458|LINC01507|ENSG00000280366|chr9:80034398|chr9:79989957|high|5|2|116|.|duplication
294-MO-17-563456458|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|5|2|62|.|translocation
294-MO-17-563456458|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|5|16|36|.|duplication
294-MO-17-563456458|ENSG00000275964(90511),ENSG00000289235(592)|ENSG00000275964|chr13:19956840|chr13:19865471|medium|1|5|3|.|duplication
294-MO-17-563456458|SLC25A36|SLC25A36|chr3:140956691|chr3:140952338|medium|1|1|69|out-of-frame|duplication
294-MO-17-563456458|TMPRSS15|TMPRSS15(2421),ENSG00000228708(71152)|chr21:18397879|chr21:18406206|medium|1|3|47|out-of-frame|duplication
294-MO-17-563456458|AGAP7P(71193),ANTXRLP1(31334)|ANTXRLP1|chr10:46202551|chr10:46269523|medium|3|1|11|.|duplication
294-MO-17-563456458|STS|STS|chrX:7191008|chrX:7181340|medium|1|2|22|.|duplication
294-MO-17-563456458|DICER1|DICER1|chr14:95140659|chr14:95146822|medium|1|0|66|.|duplication
